timestamp,ore_type,runtime_minutes
2026-06-20 00:58:34,bronze,0.62
2026-06-20 00:59:01,bronze,1.07
2026-06-20 00:59:44,bronze,1.78
2026-06-20 01:00:16,bronze,2.32
2026-06-20 01:01:27,unknown,0.44
2026-06-20 01:01:55,silver,0.90
2026-06-20 01:02:36,bronze,1.59
2026-06-20 01:02:59,bronze,1.96
2026-06-20 01:03:50,bronze,2.82
2026-06-20 01:04:43,bronze,3.70
2026-06-20 01:05:27,bronze,4.43
2026-06-20 01:06:27,bronze,5.43
2026-06-20 01:07:19,bronze,6.30
2026-06-20 01:08:18,bronze,7.28
2026-06-20 01:08:46,bronze,7.75
